Name	Popularity	Year
We Belong	66.0	1984.0
Big in Japan	65.0	1984.0
"Rasputin - 7"" Version"	59.0	1984.0
Material Girl	54.0	1984.0
Tinseltown in the Rain	54.0	1984.0
Sounds Like a Melody	53.0	1984.0
Song To The Siren (Remastered)	51.0	1984.0
Beat It - Single Version	77.0	1982.0
Hungry Like the Wolf - 2009 Remaster	71.0	1982.0
Rio - 2009 Remaster	61.0	1982.0
Shadows Of The Night	55.0	1982.0
Let Me Go	44.0	1982.0
Leave in Silence - 2006 Remaster	30.0	1982.0
Heat Of The Moment	8.0	1982.0
Hooked on a Feeling	75.0	1973.0
Boys Don't Cry	73.0	1979.0
Escape (The Pina Colada Song)	71.0	1979.0
Don't Bring Me Down	70.0	1979.0
Are 'Friends' Electric?	51.0	1979.0
Godzilla	62.0	1977.0
Don't You Want Me	74.0	1981.0
Just Can't Get Enough	71.0	1981.0
Juke Box Hero	67.0	1981.0
Working for the Weekend	66.0	1981.0
Souvenir - Remastered 2003	54.0	1981.0
Love Song	42.0	1981.0
Photographic	40.0	1981.0
Georgia - 2003 Digital Remaster	32.0	1981.0
Bedsitter	18.0	1981.0
Light in Darkness	16.0	1981.0
Sweet Home Alabama	27.0	1974.0
Immigrant Song - Remaster	77.0	1970.0
More Than a Feeling	78.0	1976.0
Carry on Wayward Son	74.0	1976.0
Sweet Child O' Mine	82.0	1987.0
With Or Without You - Remastered	79.0	1987.0
Welcome To The Jungle	78.0	1987.0
Faith - Remastered	75.0	1987.0
Pour Some Sugar On Me - Remastered 2017	74.0	1987.0
Never Gonna Give You Up	66.0	1987.0
The One I Love - Remastered	63.0	1987.0
It's a Sin - 2001 Remaster	38.0	1987.0
Poem Without Words 2 - Journey By Night	37.0	1987.0
My Bag	32.0	1987.0
Don't Stop Me Now - 2011 Mix	75.0	1978.0
Hold the Line	75.0	1978.0
You Really Got Me - 2015 Remaster	64.0	1978.0
Moving in Stereo	56.0	1978.0
One Way Or Another	55.0	1978.0
Metropolis - 2009 Remastered Version	36.0	1978.0
This Island Earth	15.0	1978.0
Fortunate Son	80.0	1969.0
Kiss	73.0	1986.0
(I Just) Died In Your Arms	71.0	1986.0
Bizarre Love Triangle	67.0	1986.0
West End Girls - 2001 Remaster	58.0	1986.0
Livin' On A Prayer	24.0	1986.0
You Give Love A Bad Name	16.0	1986.0
The Lady In Red	14.0	1986.0
Venus	6.0	1986.0
Sunday Morning	1.0	1986.0
Away	0.0	1986.0
Back In Black	83.0	1980.0
You Shook Me All Night Long	78.0	1980.0
Any Way You Want It	71.0	1980.0
Video Killed The Radio Star	70.0	1980.0
Rebel, Rebel	18.0	1980.0
Johnny And Mary	6.0	1980.0
Sweet Dreams (Are Made of This) - Remastered	81.0	1983.0
Girls Just Want to Have Fun	76.0	1983.0
Separate Ways (Worlds Apart)	67.0	1983.0
Karma Chameleon	64.0	1983.0
Here Comes the Rain Again - Remastered Version	62.0	1983.0
Send Me An Angel	55.0	1983.0
Terra Titanic	49.0	1983.0
Solidarity	33.0	1983.0
Telegraph	33.0	1983.0
Get The Balance Right! - Combination Mix	24.0	1983.0
Take on Me	83.0	1985.0
Your Love	70.0	1985.0
Just the Two of Us (feat. Bill Withers)	66.0	1985.0
Broken Wings	65.0	1985.0
Gimme Gimme Gimme (with Patti Austin)	46.0	1985.0
Brothers In Arms	24.0	1985.0
You Spin Me Round (Like a Record)	17.0	1985.0
Everybody Wants To Rule The World - Extended Version	2.0	1985.0
Right Here Waiting	75.0	1989.0
If I Could Turn Back Time	72.0	1989.0
Jump (For My Love)	63.0	1989.0
Major Tom - Coming Home	58.0	1989.0
No me importa nada	56.0	1989.0
So Alive	52.0	1989.0
Vagabonds	43.0	1989.0
Somebody	32.0	1989.0
Something Good	23.0	1989.0
Golden Dreams	0.0	1989.0
On the Road Again - Live	51.0	1975.0
The Box	98.0	2019.0
Tusa	98.0	2019.0
HIGHEST IN THE ROOM	94.0	2019.0
BOP	93.0	2019.0
Vete	93.0	2019.0
Bandit (with YoungBoy Never Broke Again)	92.0	2019.0
Fantasias	92.0	2019.0
No Idea	92.0	2019.0
Ayy Macarena	91.0	2019.0
Futsal Shuffle 2020	91.0	2019.0
Falling	97.0	2018.0
rockstar (feat. 21 Savage)	88.0	2018.0
SAD!	87.0	2018.0
SICKO MODE	87.0	2018.0
Going Bad (feat. Drake)	85.0	2018.0
Murder On My Mind	85.0	2018.0
Swervin (feat. 6ix9ine)	85.0	2018.0
Drip Too Hard (Lil Baby & Gunna)	84.0	2018.0
Falling Down - Bonus Track	83.0	2018.0
MIA (feat. Drake)	83.0	2018.0
Jocelyn Flores	86.0	2017.0
Fuck Love (feat. Trippie Redd)	84.0	2017.0
Ric Flair Drip (& Metro Boomin)	81.0	2017.0
